Timestamp,gender,grade_finance_knowledge,grade_financial_situation,grade_behavioral_economics_knowledge,rate_purchasing_power,rate_how_rational,Please select the three major aspects of your spending,Going to Starbucks with a friend and ended up getting a drink anyways even if you didnt want one.,Making a list of things you want to buy as discount season approaching.,Buy something because  on sale,Do you make unnecessary purchase?,Have you made a purchase that you regret very much?,Go to a mall with a friend and ended up also getting something for yourself.,Shop because of an occasion,Have you spend a lot of money because you just experienced something really bad?,Have you spend a lot of money because you just experienced something really great?,Do you consider yourself a loyal customer to one or certain brands?
2018/11/02 12:22:04 PM EST,Male,5,4,3,4,4,"Food(groceries, restaurants, etc.);Travelling;Living costs(rent, car, water, electrics fee, etc.)",No,No,No,No,Maybe,Maybe,Yes,No,Maybe,Maybe
2018/11/02 1:14:08 PM EST,Male,2,2,2,3,4,"Education(Tuition, textbooks, online courses);Living costs(rent, car, water, electrics fee, etc.)",Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
2018/11/02 1:38:58 PM EST,Female,4,3,4,3,4,"Education(Tuition, textbooks, online courses);Travelling;Living costs(rent, car, water, electrics fee, etc.)",Yes,Yes,Maybe,Maybe,Yes,Maybe,Yes,Maybe,Yes,Yes
2018/11/02 1:40:38 PM EST,Male,4,4,3,4,4,"Education(Tuition, textbooks, online courses);Travelling;Clothing and Accessories;Living costs(rent, car, water, electrics fee, etc.);Entertainment(movies, video games, concerts)",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
2018/11/02 1:51:54 PM EST,Female,4,3,4,3,4,"Education(Tuition, textbooks, online courses);Travelling;Living costs(rent, car, water, electrics fee, etc.)",Yes,Yes,Maybe,Yes,Yes,Maybe,Yes,Maybe,Maybe,Yes
2018/11/02 1:58:43 PM EST,Male,1,1,3,3,4,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Clothing and Accessories",Yes,Maybe,Yes,Yes,Yes,Maybe,Maybe,No,Yes,No
2018/11/02 2:08:31 PM EST,Male,3,1,2,3,2,"Education(Tuition, textbooks, online courses);Travelling;Living costs(rent, car, water, electrics fee, etc.)",No,No,No,No,No,No,No,Yes,No,No
2018/11/02 2:09:11 PM EST,Female,2,3,1,2,3,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Travelling",No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2018/11/02 2:56:39 PM EST,Female,3,4,3,3,3,"Food(groceries, restaurants, etc.);Living costs(rent, car, water, electrics fee, etc.);Entertainment(movies, video games, concerts)",Yes,No,Maybe,Yes,Yes,Maybe,Yes,Maybe,Maybe,Yes
2018/11/02 10:09:01 PM EST,Female,2,2,1,1,4,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Living costs(rent, car, water, electrics fee, etc.)",Yes,No,No,No,No,No,Maybe,Yes,No,Yes
2018/11/02 10:13:06 PM EST,Female,5,5,4,5,3,"Education(Tuition, textbooks, online courses);Travelling;Clothing and Accessories",Yes,Yes,Maybe,Yes,No,Yes,Yes,Yes,Maybe,Yes
2018/11/02 10:13:24 PM EST,Male,3,3,3,3,3,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Travelling;Clothing and Accessories;Living costs(rent, car, water, electrics fee, etc.);Entertainment(movies, video games, concerts)",No,No,Maybe,Maybe,No,Maybe,No,No,Maybe,No
2018/11/02 10:14:17 PM EST,Female,2,1,3,4,1,"Education(Tuition, textbooks, online courses);Clothing and Accessories;Living costs(rent, car, water, electrics fee, etc.)",Maybe,Yes,Yes,Yes,Yes,Yes,No,No,No,No
2018/11/02 10:16:22 PM EST,Female,2,2,2,3,4,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Travelling;Clothing and Accessories;Living costs(rent, car, water, electrics fee, etc.)",Maybe,Yes,Yes,Maybe,No,Yes,Yes,Yes,Maybe,Yes
2018/11/02 10:21:10 PM EST,Female,3,3,3,4,4,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Travelling",Yes,Yes,Maybe,Maybe,No,Maybe,Maybe,No,Maybe,Maybe
2018/11/02 10:21:12 PM EST,Male,4,2,3,3,3,"Food(groceries, restaurants, etc.);Travelling;Living costs(rent, car, water, electrics fee, etc.)",Yes,No,Yes,Yes,Yes,Maybe,Yes,Maybe,Yes,Yes
2018/11/02 10:24:25 PM EST,Male,3,4,3,3,4,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Travelling;Clothing and Accessories;Living costs(rent, car, water, electrics fee, etc.)",Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes
2018/11/02 10:24:46 PM EST,Male,3,4,4,4,3,"Food(groceries, restaurants, etc.);Clothing and Accessories;Living costs(rent, car, water, electrics fee, etc.)",Yes,No,Yes,Yes,Yes,Maybe,Yes,Maybe,Yes,Maybe
2018/11/02 10:26:54 PM EST,Female,3,3,3,2,4,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Clothing and Accessories",Maybe,Yes,Yes,Maybe,Yes,Yes,Yes,Yes,Yes,No
2018/11/02 10:27:49 PM EST,Female,5,2,1,5,5,"Food(groceries, restaurants, etc.);Clothing and Accessories;Makeup things",No,No,Yes,Yes,Maybe,Yes,Maybe,Yes,No,No
2018/11/02 10:31:34 PM EST,Male,5,5,5,2,5,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Living costs(rent, car, water, electrics fee, etc.)",No,No,Yes,Maybe,Yes,Yes,No,No,Maybe,No
2018/11/02 10:36:24 PM EST,Male,3,5,4,5,2,"Food(groceries, restaurants, etc.);Travelling;Living costs(rent, car, water, electrics fee, etc.)",No,No,Maybe,Yes,Yes,Maybe,Yes,No,Yes,Yes
2018/11/02 10:39:01 PM EST,Female,4,3,3,5,2,"Travelling;Clothing and Accessories;Living costs(rent, car, water, electrics fee, etc.)",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Yes
2018/11/02 10:39:50 PM EST,Male,4,3,4,4,3,"Education(Tuition, textbooks, online courses);Food(groceries, restaurants, etc.);Travelling",No,No,Yes,Yes,No,No,Yes,No,Yes,Maybe
